in01	in02	in03	in04	in05	in06	in07	in08	in09	in10	in11	in12	in13	in14	in15	in16	in17	Class
white	0.0051	0.08	0.02	0.05	6.2	0.27	0.32	sweet	0.048	47	159	0.99282	3.21	0.6	med	19.5	no
white	0.0057	0.06	0.01	0.05	6.7	0.33	0.49	very low	0.167	20	94	0.9914	3.11	0.5	med	28.31	no
white	0.0014	0.01	0.03	0.06	6.6	0.2	0.14	med	0.184	35	168	0.99396	2.93	0.45	low	14.46	no
white	0.0074	0.07	0.07	0.05	7.2	0.26	0.24	sweet	0.023	19	130	0.99176	3.14	0.49	standard	13.64	yes
white	0.0059	0.01	0.02	0.01	6.9	0.33	0.31	sweet	0.04	29	135	0.99226	3.11	0.57	standard	19.27	no
red	0.047	0.32	0.38	0.39	7.4	0.37	0.43	low	0.082	18	82	0.99708	3.33	0.68	low	20.1	no
white	4e-4	0.1	0.07	0.01	7.3	0.21	0.3	very sweet	0.037	18	112	0.997	3.4	0.5	low	12.26	no
white	0.009	0.01	0.07	0.06	6.6	0.28	0.34	very low	0.037	42	119	0.9888	3.03	0.37	standard	12.73	no
red	0.057	0.36	0.36	0.22	7.8	0.58	0.02	low	0.073	9	18	0.9968	3.36	0.57	low	40.68	yes
white	0.0063	0.07	0.01	0.05	6.9	0.4	0.56	very sweet	0.043	40	142	0.9975	3.14	0.46	low	25.35	no
red	0.042	0.39	0.33	0.15	5.6	0.66	0	low	0.087	3	11	0.99378	3.71	0.63	standard	45.11	yes
white	0.0019	0.07	0.03	0.05	7	0.3	0.38	very sweet	0.032	60	181	0.9983	3.18	0.61	low	24.09	yes
white	0.0087	0.08	0.03	0.03	6	0.22	0.23	med	0.045	10	122	0.99261	2.94	0.63	med	23.23	no
white	0.0035	0.03	0.01	0.06	7.4	0.24	0.31	very sweet	0.045	52	183	0.9963	3.09	0.32	low	19.89	no
white	0.0056	0.01	0.03	0.04	7.1	0.33	0.64	very sweet	0.056	12	105	0.9972	3.05	0.39	low	14.84	no
white	0.0072	0.06	0.01	0.01	7.3	0.22	0.37	very sweet	0.063	48	191	0.9978	2.89	0.38	low	12.87	no
white	0.0027	0.02	0.05	0.02	6.1	0.43	0.35	very sweet	0.059	83	249	0.9971	3.37	0.5	low	17.83	no
white	0.0045	0.07	0.03	0.05	7.3	0.43	0.37	med	0.028	17	114	0.991	3.23	0.43	standard	24.3	no
white	0.0036	0.04	0.05	0.02	6.8	0.26	0.33	very low	0.047	44	167	0.9928	3.12	0.44	med	23.12	no
white	0.0065	0.07	0.04	0.06	8.3	0.22	0.38	very sweet	0.054	32	126	1.0002	3.22	0.5	low	15.55	no
white	0.0077	0.03	0.06	0.03	6	0.27	0.27	very low	0.046	32	113	0.9924	3.41	0.51	med	16.06	yes
white	7e-4	0.03	0.06	0.02	8	0.22	0.42	very sweet	0.044	45	163	1.0003	3.21	0.69	low	27.61	yes
white	0.0011	0.06	0.08	0.03	8.2	0.38	0.49	very sweet	0.042	58	166	0.99855	3.1	0.54	low	26.05	no
white	0.0032	0.05	0.01	0.02	6.9	0.27	0.25	sweet	0.03	18	117	0.99116	3.09	0.38	standard	13.25	no
red	0.058	0.78	0.59	0.22	11.5	0.31	0.51	low	0.079	14	28	0.9982	3.03	0.93	low	30.79	no
white	0.009	0.02	0.02	0.05	7.8	0.28	0.32	very sweet	0.036	34	115	0.9952	3.17	0.39	med	16.74	yes
white	3e-4	0.1	0.05	0.02	7.1	0.47	0.24	sweet	0.044	11	77	0.9956	3.21	0.56	low	22.53	no
white	0.0038	0.07	0.03	0.04	4.9	0.335	0.14	very low	0.036	69	168	0.99212	3.47	0.46	med	21.88	no
red	0.07	0.73	0.12	0.17	15	0.21	0.44	low	0.075	10	24	1.00005	3.07	0.84	low	12.41	yes
red	0.064	0.36	0.16	0.12	10.7	0.52	0.38	low	0.066	29	56	0.99577	3.15	0.79	standard	15.1	yes
red	0.06	0.62	0.15	0.41	10.4	0.34	0.58	low	0.174	6	16	0.997	3.19	0.7	med	32.86	no
white	0.0075	0.04	0.03	0.02	7.4	0.25	0.36	very sweet	0.067	53	178	0.9976	3.01	0.48	low	28.02	no
white	7e-4	0.1	0.05	0.02	6	0.13	0.28	med	0.038	56	190	0.9948	3.59	0.43	med	23.24	yes
white	0.0036	0.07	0.04	0.03	6.4	0.17	0.27	very low	0.037	20	98	0.9916	3.46	0.42	med	14.19	yes
white	0.008	0.08	0.08	0.01	6	0.2	0.26	very sweet	0.045	53	125	0.998365	2.99	0.69	low	19.35	no
white	0.0048	0.1	0.07	0.05	6.9	0.31	0.32	very low	0.036	34	114	0.99068	3.19	0.45	med	15.63	yes
white	0.0014	0.01	0.05	0.01	7.1	0.24	0.34	very low	0.045	6	132	0.99132	3.16	0.46	med	20.5	no
white	0.0098	0.02	0.01	0.06	6.1	0.3	0.56	low	0.046	46	184	0.9924	3.31	0.57	med	16.96	no
white	2e-4	0.02	0.08	0.04	5.9	0.21	0.24	very sweet	0.044	53	165	0.9969	3.25	0.39	low	29.08	no
white	0.0052	0.03	0.05	0.05	6.6	0.25	0.35	very sweet	0.069	42	163	0.999	3.56	0.47	low	13.74	no
red	0.04	0.52	0.13	0.18	4.6	0.52	0.15	low	0.054	8	65	0.9934	3.9	0.56	standard	16.64	no
white	0.006	0.05	0.04	0.04	6.3	0.15	0.34	very sweet	0.05	25	96	0.99754	3.21	0.49	med	13.6	no
white	0.0058	0.05	0.08	0.06	7.1	0.21	0.32	low	0.037	28	141	0.993	3.2	0.57	med	29.89	yes
white	0.0063	0.08	0.08	0.05	6.5	0.22	0.34	very sweet	0.053	55	177	0.9983	3.52	0.44	low	19.92	no
red	0.052	0.14	0.51	0.44	7.1	0.715	0	low	0.071	21	47	0.99632	3.29	0.45	low	15.88	no
white	0.0093	0.1	0.01	0.05	6.8	0.24	0.34	low	0.047	64	218	0.9934	3.3	0.58	low	12.69	no
red	0.041	0.64	0.13	0.16	4.7	0.6	0.17	low	0.058	17	106	0.9932	3.85	0.6	standard	10.02	no
red	0.059	0.67	0.34	0.26	8.3	1.02	0.02	low	0.084	6	11	0.99892	3.48	0.49	med	36.78	no
white	0.0013	0.01	0.05	0.03	7.2	0.36	0.36	med	0.038	26	98	0.9914	2.93	0.59	standard	26.99	yes
white	0.0044	0.08	0.08	0.06	6.8	0.33	0.44	sweet	0.05	29	155	0.9955	3.14	0.42	low	14.78	no
white	0.0021	0.1	0.01	0.01	7.1	0.28	0.26	low	0.039	50	118	0.9908	3.06	0.59	med	24.04	no
white	0.0087	0.08	0.07	0.06	6.2	0.35	0.29	low	0.041	22	79	0.99005	3.1	0.59	standard	14.87	no
white	0.0015	0.1	0.06	0.01	7.7	0.23	0.31	very sweet	0.038	59	186	0.9969	3.12	0.55	low	28.15	no
red	0.07	0.56	0.63	0.11	7.1	0.735	0.16	very low	0.1	15	77	0.9966	3.27	0.64	low	46.67	no
white	0.0039	0.05	0.06	0.04	8.3	0.21	0.41	low	0.05	24	108	0.994	2.85	0.45	low	20.69	no
white	0.0057	0.07	0.01	0.06	6.6	0.2	0.38	sweet	0.052	30	145	0.9947	3.32	0.56	med	29.39	yes
white	0.0039	0.04	0.01	0.02	8.3	0.21	0.58	very sweet	0.049	62	213	1.0006	3.01	0.51	low	21.32	no
white	0.0094	0.01	0.03	0.06	5.6	0.2	0.36	low	0.048	16	125	0.99282	3.49	0.49	med	24.35	no
white	0.0041	0.03	0.03	0.02	5.3	0.76	0.03	low	0.043	27	93	0.9932	3.34	0.38	low	22.24	no
red	0.052	0.7	0.61	0.26	7	0.6	0.3	med	0.068	20	110	0.99914	3.3	1.17	med	20.05	no
red	0.056	0.13	0.41	0.2	6.2	0.52	0.08	med	0.071	11	32	0.99646	3.56	0.63	standard	19.1	no
red	0.043	0.55	0.43	0.4	8	0.48	0.34	low	0.073	16	25	0.9936	3.28	0.66	standard	35.12	no
white	0.0038	0.09	0.01	0.05	7.8	0.3	0.74	very low	0.033	33	156	0.991	3.29	0.52	standard	28.48	no
white	0.0048	0.07	0.04	0.01	6.4	0.38	0.26	very sweet	0.043	28	98	0.99234	2.99	0.31	med	29.43	no
red	0.038	0.33	0.39	0.2	7.5	0.61	0.26	very low	0.073	24	88	0.99612	3.3	0.53	low	23	no
white	0.0013	0.07	0.08	0.04	6.5	0.27	0.19	sweet	0.045	98	175	0.99364	3.16	0.34	med	21.34	no
red	0.062	0.8	0.56	0.2	6.8	0.6	0.18	very low	0.079	18	86	0.9968	3.59	0.57	low	18.48	no
red	0.058	0.66	0.47	0.17	8.2	1.33	0	very low	0.081	3	12	0.9964	3.53	0.49	med	23.49	no
red	0.07	0.82	0.53	0.14	5.2	0.645	0	low	0.08	15	28	0.99444	3.78	0.61	standard	34.82	no
white	0.0012	0.08	0.08	0.02	7.6	0.31	0.52	very sweet	0.042	61	148	0.99839	2.98	0.47	low	15.52	no
white	8e-4	0.09	0.03	0.02	5	0.33	0.16	very low	0.049	10	97	0.9917	3.48	0.44	med	19.44	no
white	0.0094	0.08	0.05	0.05	6.4	0.24	0.26	very sweet	0.054	47	182	0.99538	3.12	0.5	low	24.41	no
white	0.0085	0.04	0.08	0.03	6.6	0.36	0.29	very low	0.021	24	85	0.98965	3.41	0.61	standard	27.57	yes
red	0.053	0.4	0.2	0.22	7.8	0.5	0.3	very low	0.075	8	22	0.9959	3.31	0.56	med	48.84	no
white	0.0014	0.09	0.04	0.01	7.3	0.28	0.54	very sweet	0.049	62	152	0.9984	3.06	0.45	low	27.45	no
white	0.004	0.01	0.03	0.01	6.3	0.495	0.22	very low	0.046	31	140	0.9929	3.39	0.54	med	25.18	no
white	0.0027	0.05	0.08	0.06	4.9	0.345	0.34	very low	0.068	32	143	0.99138	3.24	0.4	med	15.25	no
red	0.053	0.25	0.18	0.39	7	0.43	0.02	very low	0.08	15	28	0.99492	3.35	0.81	med	12.61	no
white	0.0027	0.02	0.03	0.06	6.5	0.26	0.43	very sweet	0.083	50	171	0.9965	2.85	0.5	low	20.1	no
red	0.05	0.81	0.16	0.32	7.6	0.43	0.29	low	0.075	19	66	0.99718	3.4	0.64	low	15.87	no
white	0.0089	0.08	0.01	0.05	6.5	0.25	0.2	very low	0.024	29	101	0.9916	3.24	0.54	med	28	no
white	0.0046	0.07	0.02	0.06	6.8	0.32	0.32	very sweet	0.029	31	105	0.99146	3	0.34	standard	24.19	yes
red	0.036	0.28	0.62	0.11	8.8	0.955	0.05	very low	0.075	5	19	0.99616	3.3	0.44	low	35.12	no
white	0.0099	0.07	0.08	0.01	8.9	0.34	0.32	very low	0.041	12	188	0.9953	3.17	0.49	low	14.87	no
red	0.048	0.54	0.35	0.33	7.3	0.59	0.26	sweet	0.07	35	121	0.9981	3.37	0.49	low	17.48	no
white	8e-4	0.07	0.06	0.02	7.4	0.24	0.22	very sweet	0.042	26	81	0.9954	2.86	0.36	low	29.85	no
white	0.0095	0.01	0.02	0.02	6.7	0.35	0.48	very sweet	0.056	35	167	0.99628	3.04	0.47	low	15.84	no
white	0.0079	0.03	0.07	0.03	6.6	0.16	0.4	very low	0.044	48	143	0.9912	3.54	0.52	standard	17.72	yes
white	0.003	0.07	0.07	0.03	8.5	0.15	0.49	very low	0.031	17	122	0.9932	3.03	0.4	med	15.01	no
red	0.058	0.39	0.17	0.37	8.2	0.23	0.42	very low	0.069	9	17	0.99376	3.21	0.54	standard	48.79	no
red	0.068	0.27	0.58	0.27	7.5	0.4	0.18	very low	0.079	24	58	0.9965	3.34	0.58	low	35.39	no
white	0.0037	0.03	0.02	0.04	6.6	0.32	0.22	very sweet	0.046	38	133	0.9979	3.22	0.67	med	19.57	no
red	0.043	0.58	0.11	0.35	9.1	0.21	0.37	very low	0.067	6	10	0.99552	3.23	0.58	med	31.56	yes
white	0.0066	0.02	0.06	0.02	6.2	0.25	0.54	sweet	0.046	58	176	0.99454	3.19	0.7	med	20.8	no
red	0.069	0.13	0.38	0.15	8.1	0.53	0.22	low	0.078	33	89	0.99678	3.26	0.46	low	19.46	no
white	0.006	0.07	0.06	0.04	6.5	0.35	0.38	sweet	0.036	20	196	0.99712	3.47	0.48	low	24.69	no
white	0.0013	0.08	0.01	0.01	6	0.27	0.32	low	0.035	36	133	0.99215	3.23	0.46	med	26.67	no
red	0.063	0.21	0.35	0.26	11.1	0.31	0.53	low	0.06	3	10	0.99572	3.02	0.83	med	41.64	yes
white	0.0042	0.08	0.02	0.05	6.9	0.46	0.2	very low	0.054	5	126	0.992	3.1	0.42	med	18.86	no
white	0.0079	0.01	0.01	0.02	7	0.31	0.26	sweet	0.069	28	160	0.9954	3.13	0.46	low	27.88	no
white	0.0014	0.08	0.07	0.05	6	0.26	0.15	very low	0.053	35	124	0.99347	3.08	0.46	low	24.31	no
red	0.069	0.52	0.4	0.23	7.1	0.68	0.07	very low	0.075	16	51	0.99685	3.38	0.52	low	44.35	no
white	0.0082	0.07	0.07	0.02	6.3	0.32	0.26	very sweet	0.049	63	170	0.9961	3.14	0.55	low	21.62	no
red	0.057	0.2	0.5	0.44	12.4	0.42	0.49	med	0.073	19	43	0.9978	3.02	0.61	low	42.28	no
white	0.0028	0.07	0.07	0.01	7.3	0.13	0.32	very sweet	0.051	34	109	0.9974	3.2	0.35	low	13.53	no
white	0.0091	0.02	0.03	0.01	6.9	0.29	0.4	very sweet	0.043	36	156	0.9996	2.93	0.47	low	12.31	no
white	8e-4	0.08	0.01	0.04	6.6	0.37	0.24	low	0.064	23	120	0.9946	3.32	0.54	low	15.85	no
red	0.062	0.42	0.6	0.29	9.4	0.43	0.24	low	0.092	14	45	0.998	3.19	0.73	med	30.85	no
white	0.0035	0.02	0.08	0.04	7.6	0.22	0.34	very sweet	0.035	26	143	0.9965	3.08	0.49	low	17.79	no
white	0.009	0.01	0.01	0.01	6	0.16	0.27	very sweet	0.03	39	98	0.99402	3.15	0.34	med	17.32	no
white	0.007	0.1	0.03	0.06	6.4	0.28	0.29	very low	0.052	34	127	0.9929	3.48	0.56	med	22.92	yes
red	0.066	0.64	0.1	0.37	6.9	0.52	0.25	low	0.081	10	37	0.99685	3.46	0.5	med	49.74	no
red	0.07	0.73	0.24	0.4	10.7	0.9	0.34	sweet	0.112	23	99	1.00289	3.22	0.68	low	19.87	no
red	0.06	0.15	0.45	0.1	12.3	0.39	0.63	low	0.091	6	18	1.0004	3.16	0.49	low	35.27	no
white	0.0099	0.02	0.07	0.01	6.8	0.28	0.35	low	0.042	16	85	0.9906	3.19	0.56	standard	12.62	no
white	0.009	0.07	0.06	0.04	6.9	0.32	0.26	low	0.03	11	103	0.99106	3.06	0.42	med	24.09	no
red	0.07	0.18	0.27	0.16	5.9	0.61	0.08	low	0.071	16	24	0.99376	3.56	0.77	med	37.55	no
white	8e-4	0.02	0.07	0.05	7.9	0.2	0.39	very low	0.041	37	154	0.99093	3.08	0.43	standard	16.89	no
red	0.064	0.31	0.15	0.27	7.9	0.57	0.31	low	0.079	10	79	0.99677	3.29	0.69	low	49.21	no
white	0.0038	0.02	0.06	0.01	7	0.15	0.28	very sweet	0.051	29	149	0.99792	2.96	0.39	low	19.08	yes
white	0.0024	0.01	0.03	0.05	6	0.26	0.29	low	0.041	37	144	0.98944	3.22	0.39	standard	13.54	yes
white	0.0064	0.07	0.02	0.02	6.4	0.105	0.29	very low	0.035	44	140	0.99142	3.17	0.55	med	18.53	yes
white	0.0089	0.01	0.03	0.05	6.1	0.38	0.2	sweet	0.033	25	137	0.9938	3.3	0.69	med	29.34	no
white	0.0024	0.01	0.04	0.03	6.9	0.18	0.38	very sweet	0.049	44	176	0.9958	3.3	0.54	low	29.83	no
white	0.0041	0.02	0.03	0.06	6.7	0.41	0.27	low	0.033	25	85	0.99086	3.05	0.34	standard	29.43	no
white	0.0056	0.02	0.02	0.03	8	0.33	0.32	med	0.041	31	180	0.99184	2.92	0.74	standard	13.77	no
white	0.0059	0.04	0.06	0.03	7.8	0.965	0.6	very sweet	0.074	8	160	1.03898	3.39	0.69	standard	21.91	no
white	0.0037	0.05	0.02	0.04	6.4	0.26	0.21	very sweet	0.05	51	182	0.99542	3.23	0.48	low	14.36	no
red	0.047	0.58	0.19	0.4	8.8	0.6	0.29	low	0.098	5	15	0.9988	3.36	0.49	low	44.75	no
red	0.038	0.8	0.39	0.16	12.7	0.6	0.49	low	0.075	5	19	0.9994	3.14	0.57	med	13.81	no
white	0.005	0.1	0.07	0.03	6.2	0.36	0.26	very sweet	0.051	54	201	0.9976	3.25	0.46	low	15.2	no
white	0.0098	0.07	0.07	0.03	6.6	0.21	0.38	low	0.026	40	104	0.9914	3.25	0.4	med	26.67	yes
white	0.0054	0.07	0.06	0.02	6.9	0.3	0.29	very low	0.053	24	189	0.99362	3.29	0.54	low	20.2	no
red	0.046	0.38	0.5	0.32	7	0.65	0.02	low	0.066	8	25	0.9972	3.47	0.67	low	34.34	no
red	0.059	0.49	0.63	0.42	7.7	0.54	0.26	very low	0.089	23	147	0.99636	3.26	0.59	low	28.46	no
white	0.0038	0.1	0.07	0.05	7.4	0.27	0.52	very sweet	0.054	36	139	0.99788	3.04	0.62	med	12.94	no
white	6e-4	0.04	0.04	0.04	6.6	0.19	0.41	very sweet	0.046	51	169	0.9954	3.14	0.57	low	29.23	no
white	0.0077	0.02	0.08	0.01	6.8	0.21	0.36	very sweet	0.046	32	133	1	3.27	0.48	low	20	no
red	0.058	0.79	0.46	0.15	9	0.43	0.34	low	0.08	26	86	0.9987	3.38	0.62	low	10.66	no
white	0.0042	0.03	0.06	0.04	6.5	0.28	0.26	very sweet	0.04	44	139	0.9956	3.32	0.37	med	13.43	no
white	0.0024	0.01	0.03	0.01	5	0.55	0.14	very sweet	0.032	35	164	0.9918	3.53	0.51	standard	25.93	yes
white	0.0051	0.08	0.05	0.02	5.7	0.33	0.32	very low	0.043	28	93	0.9897	3.31	0.5	standard	27.38	no
red	0.051	0.82	0.43	0.35	8	0.42	0.17	low	0.073	6	18	0.9972	3.29	0.61	low	31.89	no
white	0.0011	0.02	0.06	0.05	6.1	0.32	0.37	very low	0.051	13	200	0.9945	3.49	0.44	med	24.01	no
white	0.0094	0.06	0.01	0.03	7.6	0.285	0.32	very sweet	0.063	32	201	0.998	3	0.45	low	24.89	no
red	0.061	0.16	0.65	0.42	7.9	0.37	0.23	very low	0.077	23	49	0.9963	3.28	0.67	low	29.23	no
white	0.0094	0.1	0.05	0.04	7.1	0.21	0.72	very low	0.167	65	120	0.99324	2.97	0.51	low	27.05	no
white	0.0025	0.1	0.06	0.05	5.2	0.31	0.2	low	0.027	27	117	0.98886	3.56	0.45	standard	18.07	yes
red	0.044	0.17	0.11	0.31	7	0.62	0.18	very low	0.062	7	50	0.9951	3.08	0.6	low	49.16	no
red	0.066	0.14	0.35	0.35	7	0.655	0.16	low	0.074	8	25	0.99606	3.37	0.55	low	39.66	no
white	0.0089	0.03	0.02	0.04	7.5	0.33	0.36	low	0.051	26	126	0.99097	3.32	0.53	standard	15.35	no
white	0.0041	0.02	0.01	0.05	6.4	0.17	0.3	low	0.034	33	125	0.99152	3.03	0.49	med	26.38	no
white	0.0046	0.03	0.06	0.04	7.6	0.31	0.29	very sweet	0.04	21	145	0.9966	3.04	0.35	low	13.12	no
white	0.0056	0.07	0.01	0.01	6.7	0.36	0.28	very sweet	0.034	29	81	0.99151	2.96	0.39	standard	22.12	no
white	0.0021	0.09	0.07	0.01	6	0.19	0.37	very sweet	0.032	17	50	0.9932	3.08	0.66	standard	28.11	no
red	0.041	0.35	0.48	0.35	8.5	0.44	0.5	very low	0.369	15	38	0.99634	3.01	1.1	low	19.98	no
white	0.0026	0.04	0.05	0.04	6	0.32	0.3	very low	0.033	41	142	0.98912	3.29	0.42	standard	12.31	yes
white	0.0015	0.07	0.06	0.05	6.6	0.24	0.27	very low	0.057	33	152	0.9934	3.22	0.56	low	19.35	no
white	0.0095	0.02	0.06	0.04	7.9	0.16	0.74	very sweet	0.037	52	187	0.9998	2.99	0.41	low	23.99	no
white	0.0045	0.07	0.01	0.02	7.7	0.28	0.35	very sweet	0.056	31	117	0.9998	3.27	0.5	low	20.13	no
red	0.068	0.15	0.39	0.45	7.7	0.965	0.1	low	0.112	11	22	0.9963	3.26	0.5	low	27.6	no
white	0.0025	0.08	0.08	0.06	6.4	0.31	0.53	very sweet	0.057	36	221	0.99642	3.17	0.44	low	13.73	no
white	0.0065	0.03	0.06	0.04	6.1	0.22	0.4	very low	0.031	25	111	0.98966	3.03	0.3	standard	25.88	yes
white	2e-4	0.06	0.06	0.02	7.1	0.31	0.38	very low	0.036	10	124	0.9924	3.14	0.44	low	21.53	no
white	0.007	0.01	0.08	0.06	7.5	0.2	0.47	very sweet	0.052	51	188	0.99944	3.09	0.62	low	29.57	no
red	0.036	0.27	0.27	0.21	8.6	0.52	0.38	very low	0.096	5	18	0.99666	3.2	0.52	low	37.39	no
white	0.0065	0.04	0.06	0.05	5.4	0.255	0.33	very low	0.051	29	122	0.99048	3.37	0.66	med	29.65	no
red	0.05	0.13	0.32	0.3	9.2	0.53	0.24	low	0.078	28	139	0.99788	3.21	0.57	low	35.15	no
white	8e-4	0.01	0.01	0.04	6.8	0.34	0.36	very sweet	0.029	44	128	0.99318	3.28	0.35	standard	28.24	yes
white	0.0021	0.08	0.08	0.06	5.8	0.34	0.16	sweet	0.037	26	116	0.9949	3.46	0.45	med	22.76	yes
white	0.0065	0.08	0.01	0.05	6.1	0.27	0.43	sweet	0.049	65	243	0.9957	3.12	0.47	low	24.84	no
red	0.037	0.44	0.15	0.45	6.7	0.46	0.24	very low	0.077	18	34	0.9948	3.39	0.6	med	36.12	no
white	5e-4	0.07	0.03	0.01	6.1	0.3	0.47	very low	0.049	50	187	0.9927	3.19	0.45	low	29.21	no
white	0.0092	0.03	0.08	0.05	6.4	0.3	0.33	med	0.05	30	137	0.99304	3.26	0.58	med	22.02	no
red	0.037	0.26	0.21	0.2	10	0.32	0.59	low	0.077	3	15	0.9994	3.2	0.78	low	32.98	no
white	0.0046	0.09	0.06	0.03	6.5	0.28	0.35	very sweet	0.042	55	195	0.9978	3.23	0.5	low	20.35	no
white	0.0099	0.08	0.07	0.03	7.2	0.39	0.62	very sweet	0.047	66	178	0.9976	3.16	0.5	low	27.78	no
white	7e-4	0.03	0.03	0.02	9.8	0.44	0.4	low	0.036	35	167	0.9956	2.97	0.39	low	21.9	no
white	0.0076	0.03	0.05	0.04	5.5	0.16	0.31	very low	0.026	31	68	0.9898	3.33	0.44	standard	12.26	no
white	0.0073	0.08	0.02	0.02	7.8	0.29	0.22	very sweet	0.056	44	213	0.99715	3.08	0.61	low	18.62	no
white	0.0053	0.03	0.07	0.01	6.1	0.35	0.24	low	0.034	25	133	0.9906	3.34	0.59	standard	25.67	yes
white	0.0014	0.06	0.01	0.01	6.7	0.34	0.26	very low	0.038	58	138	0.9893	3	0.47	standard	29.41	yes
white	0.0011	0.09	0.03	0.02	5.5	0.16	0.31	very low	0.026	31	68	0.9898	3.33	0.44	standard	13.75	no
white	3e-4	0.07	0.03	0.04	6	0.27	0.4	very low	0.021	18	82	0.9891	3.24	0.95	standard	17.32	no
white	0.0043	0.06	0.07	0.01	6.8	0.18	0.28	very sweet	0.047	52	242	0.9952	3.22	0.53	med	23.69	no
red	0.039	0.1	0.47	0.24	7	0.23	0.4	very low	0.063	21	67	0.9952	3.5	0.63	med	19.23	no
red	0.044	0.38	0.43	0.33	8	0.52	0.25	low	0.078	19	59	0.99612	3.3	0.48	med	33.01	no
white	0.0038	0.09	0.01	0.06	7	0.16	0.73	very low	0.138	58	150	0.9936	3.08	0.3	low	28.03	no
white	4e-4	0.08	0.01	0.05	6.8	0.15	0.41	very sweet	0.044	80	183	0.99742	3.24	0.78	med	15.12	no
white	0.0038	0.03	0.02	0.02	6.3	0.21	0.33	very sweet	0.046	68	179	0.9971	3.36	0.5	med	16.03	no
red	0.064	0.81	0.35	0.39	7.9	0.43	0.21	very low	0.106	10	37	0.9966	3.17	0.91	low	46.13	no
white	0.0076	0.04	0.03	0.04	7.4	0.26	0.31	low	0.043	58	178	0.9941	3.42	0.68	med	15.84	no
white	0.0043	0.08	0.03	0.02	5.1	0.29	0.28	very sweet	0.026	27	107	0.99308	3.36	0.37	med	26.4	no
white	0.0022	0.04	0.05	0.04	5.7	0.44	0.13	sweet	0.025	28	173	0.9913	3.33	0.48	standard	21.18	no
white	0.0094	0.05	0.02	0.03	7.1	0.22	0.32	very sweet	0.056	49	158	0.9998	3.37	0.38	low	12.93	no
red	0.054	0.49	0.65	0.39	7.6	0.665	0.1	very low	0.066	27	55	0.99655	3.39	0.51	low	14.01	no
white	0.0048	0.04	0.03	0.05	6.2	0.24	0.28	very sweet	0.049	54	133	0.9952	3.19	0.37	med	28.43	no
white	0.0063	0.02	0.08	0.02	7.7	0.25	0.43	med	0.062	20	115	0.9966	3.38	0.5	low	17.05	no
white	0.0021	0.07	0.02	0.03	8	0.27	0.24	very low	0.044	20	102	0.9929	3.28	0.42	med	19.73	no
white	0.0057	0.07	0.04	0.02	6.2	0.26	0.29	low	0.036	16	87	0.99081	3.33	0.61	standard	25.12	no
white	0.0034	0.03	0.04	0.04	6.4	0.25	0.57	very low	0.062	21	122	0.99238	3	0.4	low	17.77	no
red	0.035	0.49	0.18	0.37	6.8	0.64	0.1	low	0.085	18	101	0.9956	3.34	0.52	med	29.08	no
white	0.0058	0.01	0.03	0.04	7.8	0.29	0.36	sweet	0.042	38	161	0.9941	3.26	0.37	med	21.8	yes
white	0.0057	0.01	0.07	0.06	5.9	0.415	0.02	very low	0.038	22	63	0.9932	3.36	0.36	low	13.46	no
red	0.056	0.74	0.2	0.12	9.2	0.43	0.49	low	0.086	23	116	0.9976	3.23	0.64	low	29.69	no
white	0.008	0.02	0.04	0.05	7.4	0.27	0.48	very low	0.047	17	132	0.9914	3.19	0.49	standard	26.46	no
white	0.0029	0.08	0.05	0.02	6.9	0.33	0.62	sweet	0.038	46	132	0.99143	3.23	0.43	standard	22.09	yes
red	0.042	0.13	0.36	0.44	7.5	0.43	0.3	low	0.062	6	12	0.99495	3.44	0.72	standard	38.34	yes
white	0.0074	0.08	0.07	0.04	6.8	0.19	0.36	very low	0.035	30	96	0.9917	3.15	0.54	med	29.24	yes
red	0.053	0.51	0.43	0.19	10	0.73	0.43	low	0.059	15	31	0.9966	3.15	0.57	med	44.22	no
white	0.0059	0.1	0.04	0.03	6.7	0.19	0.32	low	0.041	26	76	0.99173	2.9	0.57	med	26.43	yes
red	0.053	0.15	0.2	0.41	8.3	0.26	0.37	very low	0.076	8	23	0.9974	3.26	0.7	low	40.88	no
white	0.0029	0.06	0.05	0.06	6.8	0.57	0.29	low	0.04	15	77	0.9938	3.32	0.74	med	21.63	no
white	0.0014	0.08	0.04	0.02	5.6	0.3	0.1	sweet	0.043	34	142	0.99382	3.14	0.48	low	27.92	no
white	0.0086	0.08	0.04	0.02	7.5	0.21	0.32	med	0.056	39	113	0.99393	3.11	0.52	med	13.58	yes
white	0.0023	0.04	0.08	0.01	6.8	0.22	0.37	very low	0.036	38	195	0.9908	3.35	0.72	standard	20.53	no
white	0.0024	0.04	0.05	0.03	6.6	0.285	0.49	very sweet	0.035	57	137	0.99732	3.08	0.54	low	22.01	no
red	0.061	0.47	0.3	0.31	8.1	0.56	0.28	very low	0.368	16	56	0.9968	3.11	1.28	low	28.99	no
white	0.0065	0.06	0.07	0.06	6.4	0.32	0.26	sweet	0.05	53	180	0.99514	3.14	0.5	low	21.97	no
white	0.0068	0.09	0.06	0.02	7.2	0.34	0.44	med	0.047	51	144	0.991	3.01	0.76	standard	19.96	no
white	0.0089	0.05	0.02	0.01	6.6	0.23	0.2	very sweet	0.044	45	131	0.99604	2.96	0.51	low	23.15	no
